"namaKerajaan,""ibuKota"",""agama"",""pendahulu"",""penerus"",""tahunMulai"",""wikidataID"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Surakarta Sunanate,""Surakarta"",""Sunni Islam"",""Mataram Sultanate"",""Special Region of Surakarta"",,""http://www.wikidata.org/entity/Q2122499"""
"Kingdom of Luwu,""Palopo"",""Sunni Islam"",,""Republic of Indonesia"",,"
"Kingdom of Luwu,""Malangke"",""Sunni Islam"",,""Republic of Indonesia"",,"
"Melayu Kingdom,""Dharmasraya"",,""Srivijaya"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Dharmasraya"",,""Srivijaya"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Srivijaya"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Srivijaya"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Dharmasraya"",,""Srivijaya"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Dharmasraya"",,""Srivijaya"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Srivijaya"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Srivijaya"",""Majapahit Empire"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Dharmasraya"",,""Srivijaya"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q19746027"""
"Melayu Kingdom,""Dharmasraya"",,""Srivijaya"",""Kingdom of Singapura"",,""http://www.wikidata.org/entity/Q3112053"""
"Melayu Kingdom,""Pagaruyung kingdom"",,""Srivijaya"",""Pagaruyung Kingdom"",,""http://www.wikidata.org/entity/Q19746027"""
