"kerajaanLabel,orangLabel,peranLabel,ayahLabel,ibuLabel,pasanganLabel,anakLabel"
"Kesultanan Aceh,Safiatuddin dari Aceh,Iskandar Muda dari Aceh,,Iskandar Tsani dari Aceh"
"Kesultanan Aceh,Alauddin al-Qahhar dari Aceh,Ali Mughayat Syah dari Aceh,,"
"Kesultanan Aceh,Nuruddin al-Raniri,,,"
"Kesultanan Banten,Abu an-Nasr,Tirtayasa dari Banten,,"
"Kesultanan Aceh,Cut Nyaâ€™ Dhien,Teuku Nanta Seutia,,Teuku Ibrahim Lam Nga"
"Kesultanan Banjar,Hidayatullah I dari Banjar,,,"
"Kesultanan Aceh,Ali Mughayat Syah dari Aceh,,,"
"Kesultanan Banjar,Rahmatullah dari Banjar,,,"
"Majapahit,Kertabhumi,Rajasawardhana,,"
"Kesultanan Demak,Sunan Demak,Sunan Ampel,,"
"Kerajaan Mataram,Dyah Gula,Rakai Warak,,"
"Kerajaan Mataram,Sri Isyana Tunggawijaya,Mpu Sindok,,Lokapala"
"Majapahit,Wikramawardhana,,Dyah Nertaja,Kusumawardhani"
"Kesultanan Aceh,Sultan Ali Riayat Syah,Sultan Alauddin Riayat Syah,,"
"Majapahit,Sunan Demak,Sunan Ampel,,"
"Kesultanan Demak,Sunan Kudus,Sunan Ngudung,,"
"Kesultanan Aceh,Sri Alam dari Aceh,Alauddin al-Qahhar dari Aceh,,"
"Majapahit,Mpu Kuturan,,,"
"Majapahit,Mpu Tantular,,,"
"Kerajaan Sunda,Pangeran Walangsungsang,Sri Baduga Maharaja,,"
"Kesultanan Aceh,Jamalul Alam dari Aceh,Badrul Alam dari Aceh,,"
"Kesultanan Aceh,Sultan Alauddin Johan Syah,Sultan Alauddin Ahmad Syah,,"
"Kesultanan Aceh,Sultan Alauddin Mahmud Syah I,Sultan Alauddin Johan Syah,,"
"Majapahit,Ra Kuti,,,"
"Majapahit,Patih Udara,,,"
"Kerajaan Sunda,Prabu Gilingwesi,Rakeyan Medang,,"
"Kerajaan Sunda,Rakeyan Medang,Hariang Banga,,"
"Majapahit,Kusumawardhani,,,Wikramawardhana"
"Kerajaan Sunda,Sri Baduga Maharaja,,,"
"Kesultanan Demak,Raden Hamzah,Sunan Ampel,,"
"Majapahit,Gajah Mada,,,"
"Kerajaan Sunda,Rara Santang,Sri Baduga Maharaja,,Syarif Abdullah Umdatuddin"
"Kesultanan Banten,Tirtayasa dari Banten,Abu al-Ma'ali,,"
"Kesultanan Banten,Abul Nashar Muhammad Ishaq Zainulmutaqin,,,"
"Kesultanan Banten,Muhammad bin Muhammad Muhyiddin Zainussalihin,,,"
"Kerajaan Mataram,Dharmawangsa Teguh,,,"
"Kesultanan Banten,Abul Mafakhir Muhammad Aliuddin,,,"
"Sriwijaya,Samaratungga,,,"
"Kerajaan Mataram,Mpu Sindok,,,"
"Majapahit,Raden Hamzah,Sunan Ampel,,"
"Majapahit,Bondan Kajawan,Kertabhumi,,"
"Kesultanan Aceh,Muda dari Aceh,Husain Ali Riayat Syah dari Aceh,,"
"Majapahit,Sunan Bungkul,,,"
"Kerajaan Mataram,Makutawangsawardhana,Sri Isyana Tunggawijaya,Sri Isyana Tunggawijaya,"
"Majapahit,Taming Sari,,,"
"Kesultanan Aceh,Zaqiatuddin dari Aceh,,Naqiatuddin dari Aceh,"
"Kerajaan Kadiri,Kertajaya,,,"
"Kesultanan Aceh,Teuku Nanta Seutia,Datuk Makhudum Sati,,"
"Kerajaan Mataram,Lokapala,,,Sri Isyana Tunggawijaya"
"Kesultanan Aceh,Salahuddin dari Aceh,Ali Mughayat Syah dari Aceh,,"
"Kesultanan Aceh,Muhammad Daud Syah dari Aceh,,,"
"Kesultanan Aceh,Naqiatuddin dari Aceh,,,"
"Kesultanan Aceh,Pocut Baren,,,"
"Kesultanan Aceh,Zainal Abidin dari Aceh,,,"
"Kesultanan Aceh,Zainatuddin dari Aceh,,,"
"Kesultanan Banjar,Sulaiman dari Banjar,Tahmidullah II dari Banjar,,"
"Kesultanan Banjar,Saidullah dari Banjar,Inayatullah dari Banjar,,"
"Kesultanan Banjar,Inayatullah dari Banjar,Mustain Billah dari Banjar,,"
"Kesultanan Banjar,Suriansyah dari Banjar,,,"
"Kesultanan Banten,Maulana Muhammad,Maulana Yusuf,,"
"Kesultanan Aceh,Syarif Saif al-Alam,,,"
"Kesultanan Aceh,Alauddin bin Ahmad dari Perak,,,"
"Kesultanan Aceh,Sultan Muhammad Syah,,,"
"Kesultanan Aceh,Sultan Mahmud Syah,,,"
"Kesultanan Aceh,Alauddin Muhammad Syah,,,"
"Kesultanan Aceh,Badrul Alam dari Aceh,,,"
"Kesultanan Aceh,Jauharul Alam dari Aceh,,,"
"Kesultanan Aceh,Sultan Alauddin Ahmad Syah,,,"
"Kesultanan Aceh,Sultan Alauddin Jauhar al-Alam,,,"
"Kesultanan Aceh,Sultan Alauddin Riayat Syah,,,"
"Kesultanan Aceh,Sultan Badruddin Johan Syah,,,"
"Kesultanan Aceh,Sultan Mansur Syah,,,"
"Kesultanan Aceh,Sultan Sulaiman Ali Iskandar Syah,,,"
"Kesultanan Aceh,Ali Ri'ayat Syah II,,,"
"Kesultanan Aceh,Sultan Perkasa Alam Syarif Lamtui,,,"
"Kesultanan Aceh,Sultan Sulaiman Syah,,,"
"Kesultanan Aceh,Syamsul Alam dari Aceh,,,"
"Kesultanan Demak,Sunan Gunung Jati,Syarif Abdullah Umdatuddin,,"
"Kesultanan Banten,Abu al-Ma'ali,Abu al-Mafakhir,,"
"Kesultanan Banten,Maulana Yusuf,Maulana Hasanuddin,,"
"Kesultanan Banjar,Surya Alam dari Banjar,Tahlilullah,,"
"Kesultanan Banjar,Tahmidullah II dari Banjar,Tamjidillah I dari Banjar,,"
"Kesultanan Banjar,Demang Lehman,,,"
"Kesultanan Banjar,Muhammad Seman dari Banjar,,,"
"Kesultanan Banjar,Muhammad dari Banjar,,,"
"Kesultanan Banjar,Rakyatullah dari Banjar,,,"
"Kesultanan Banjar,Soeria Kasoema,,,"
"Kesultanan Banjar,Tamjidullah II dari Banjar,,,"
"Kesultanan Banten,Maulana Hasanuddin,Sunan Gunung Jati,,"
"Kesultanan Aceh,Iskandar Tsani dari Aceh,Ahmad Shah II of Pahang,,Safiatuddin dari Aceh"
"Kesultanan Aceh,Iskandar Muda dari Aceh,,,"
"Kesultanan Banten,Abu al-Fadhl,Abu an-Nasr,,"
"Kesultanan Banten,Abu al-Mahasin,Abu an-Nasr,,"
"Kesultanan Aceh,Cut Nyaâ€™ Dhien,Teuku Nanta Seutia,,Teuku Umar"
"Kesultanan Banten,Abu al-Mafakhir,Maulana Muhammad,,"
"Kesultanan Aceh,Husain Ali Riayat Syah dari Aceh,Alauddin al-Qahhar dari Aceh,,"
"Majapahit,Suraprabhawa,Kertawijaya,,"
"Kesultanan Banten,Syifa Zainularifin,Abu al-Mahasin,,"
"Kesultanan Banten,Wasi Zainulalimin,Abu al-Mahasin,,"
"Kesultanan Aceh,Syamsuddin As-Sumatrani,,,"
"Kerajaan Klungkung,Dewa Agung Gede,Dewa Agung Jambe I,,"
"Kerajaan Klungkung,Dewa Agung Jambe II,Dewa Agung Putra III Bhatara Dalem,,"
"Kerajaan Klungkung,Dewa Agung Made,Dewa Agung Gede,,"
"Kerajaan Klungkung,Dewa Agung Putra I Kusamba,Dewa Agung Åšakti,,"
"Kerajaan Klungkung,Dewa Agung Åšakti,Dewa Agung Made,,"
"Kesultanan Siak Sri Inderapura,Sultan Assyaidis Syarif Hasyim Abdul Jalil,,,"
"kerajaan demak,Sunan Bonang,Sunan Ampel,,"
"Kesultanan Siak Sri Inderapura,Sayyid Usman Syahabuddin,,,"
"Kesultanan Siak Sri Inderapura,Sayyid Ismail dari Siak,,,"
"Kesultanan Cirebon,Pangeran Walangsungsang,Sri Baduga Maharaja,,"
"Kesunanan Surakarta,Pakubuwana X,Pakubuwana IX,,"
"Kesultanan Siak Sri Inderapura,Yahya dari Siak,,,"
"Kerajaan Kubu,Elizabeth Carter,,,"
"Kesultanan Siak Sri Inderapura,Abdul Jalil Syah dari Siak,Mahmud Syah II dari Johor,,"
"Kerajaan Bali,Mpu Kuturan,,,"
"Kesultanan Lingga,Sulaiman II Badrul Alam Syah,Abdul Rahman Muazzam Syah dari Lingga,,"
"Kerajaan Klungkung,Dewa Agung Jambe I,,,"
"Kerajaan Klungkung,Dewa Agung Oka Geg,,,"
"Kerajaan Klungkung,Dewa Agung Putra II,,,"
"Kerajaan Klungkung,Dewa Agung Putra III Bhatara Dalem,,,"
"Kesultanan Tidore,Al-Mansur dari Tidore,,,"
"Kesultanan Tidore,Saifuddin of Tidore,,,"
"Kesultanan Tidore,Ngarolamo,,,"
"Kesultanan Tidore,Mir of Tidore,Al-Mansur dari Tidore,,"
